ENSEMBL_ID	CD_LPS_1	WD_LPS_1	CD_LPS_2	WD_LPS_2
ENSMUSG00000014867	24150	20213	19938	20720
ENSMUSG00000020460	18869	12774	11746	12302
ENSMUSG00000063856	8024	6900	5932	6674
ENSMUSG00000025428	16765	13147	14516	15613
ENSMUSG00000020149	23345	22870	23025	26956
ENSMUSG00000028793	23676	27091	26721	32285
ENSMUSG00000017493	2809	2606	2574	2654
ENSMUSG00000022867	24537	26381	31029	38343
ENSMUSG00000059923	17587	16789	15353	17380
ENSMUSG00000024066	12894	23264	24631	28502
ENSMUSG00000059070	15480	11703	9566	10273
ENSMUSG00000032434	18842	21072	21011	26916
ENSMUSG00000079523	27515	29492	23140	27898
ENSMUSG00000021218	10269	9109	9503	11233
ENSMUSG00000009927	15826	12517	11253	12232
ENSMUSG00000078921	25749	31643	30309	36119
ENSMUSG00000028234	18358	14522	12715	14020
ENSMUSG00000037563	16637	12291	10136	10373
ENSMUSG00000024014	21430	25099	23853	26858
ENSMUSG00000036046	6755	5566	5818	5925
ENSMUSG00000040613	7494	8840	8294	10597
ENSMUSG00000046330	17402	11851	10108	10851
ENSMUSG00000024965	13655	15592	12614	14352
ENSMUSG00000020400	29760	29408	30191	31847
ENSMUSG00000064337	13764	16126	13024	15692
ENSMUSG00000020189	10019	9678	13078	15869
ENSMUSG00000028478	13915	12230	10805	12108
ENSMUSG00000071713	17612	18506	19722	21189
ENSMUSG00000028843	12494	10906	9897	11234
ENSMUSG00000038301	24635	24622	24522	29145
ENSMUSG00000018707	13788	15299	22999	30404
ENSMUSG00000030341	18823	19546	19219	21285
ENSMUSG00000041453	15392	12664	11546	13030
ENSMUSG00000028367	34237	27381	21079	23251
ENSMUSG00000041390	23456	25049	26743	33098
ENSMUSG00000045962	10976	12136	18413	24541
ENSMUSG00000028459	8071	7099	7532	10654
ENSMUSG00000040699	18573	16202	14054	17143
ENSMUSG00000022216	26029	22004	19450	23125
ENSMUSG00000048758	14816	12847	11443	12394
ENSMUSG00000044583	10908	14225	15440	20117
ENSMUSG00000026223	15820	14873	12623	14084
ENSMUSG00000068267	10500	9498	8346	8764
ENSMUSG00000032046	7156	6749	7616	8716
ENSMUSG00000031897	31272	22646	21601	24042
ENSMUSG00000027012	24327	25063	26315	33803
ENSMUSG00000001924	18484	21186	22793	25822
ENSMUSG00000008668	15137	10539	8785	9172
ENSMUSG00000066026	4732	6332	4190	5068
ENSMUSG00000023307	22915	24569	23920	28917
ENSMUSG00000001794	13521	13262	12849	14332
ENSMUSG00000015305	13651	17687	20972	27133
ENSMUSG00000015839	17342	16281	17049	16990
ENSMUSG00000064345	4812	8727	8491	9389
ENSMUSG00000059291	13963	10080	8892	9778
ENSMUSG00000031591	7892	8264	8062	10160
ENSMUSG00000025508	16498	12205	9552	10193
ENSMUSG00000059456	17168	19831	20173	24344
ENSMUSG00000012405	15188	12809	12194	13518
ENSMUSG00000027506	12767	12878	10351	12934
ENSMUSG00000021322	19510	19669	17962	20839
ENSMUSG00000035530	20163	18343	14553	15473
ENSMUSG00000036438	8138	6713	6286	7000
ENSMUSG00000028859	21440	29512	30298	36096
ENSMUSG00000025130	11732	9242	9459	9503
ENSMUSG00000036622	2981	2689	3006	2942
