ENSEMBL	baseMean	log2FoldChange	lfcSE	pvalue	padj	CD_Ctl_1_fpm	WD_Ctl_1_fpm	CD_Ctl_2_fpm	WD_Ctl_2_fpm
ENSMUSG00000019820	778.3250304742787	-1.0396450904279249	0.19717434819455693	9.416811647526711e-9	1.6892311355409456e-6	20.720703103089708	9.428089875525027	21.809130022105762	10.349757991949456
ENSMUSG00000054150	685.2955559298133	-1.368419997660159	0.23801384184230445	5.086858372932086e-10	1.482819215709703e-7	20.223087754792644	8.940430054377181	19.860919896061574	5.835903685241573
ENSMUSG00000001930	1730.3220192937774	-1.325906134356111	0.20461502695000913	5.538641626222944e-12	2.583222454470381e-9	58.32051882041579	17.741528731283548	41.832400762004355	20.62397030512556
ENSMUSG00000033792	790.8617739365791	-1.8594859788034583	0.28552545041787053	3.67865057546325e-12	1.980195717858874e-9	24.04477362971409	8.917208158132047	26.15652484040807	4.19278517192113
ENSMUSG00000066571	539.4928802865204	-1.5205214151232984	0.3063091955914219	3.52922399491842e-8	4.5723057534165296e-6	16.02321421516543	7.245231628482287	16.595864036672708	3.3240098660275623
ENSMUSG00000025437	789.933886825227	-1.1719608036115865	0.214514742952148	2.928018506627065e-9	6.967488936177873e-7	21.795552255411366	10.77495985774289	22.62088424129084	8.045614789362169
ENSMUSG00000030657	1129.8613178026162	-1.090039659210125	0.18882053370940038	5.263103755358983e-10	1.4967753606703838e-7	30.712819296894732	15.326451521789451	31.586258617623816	12.82387897177679
ENSMUSG00000071669	842.0253241943392	-1.492226979887878	0.2658810182766797	1.0727480031542223e-9	2.779609270395162e-7	28.04560103002248	10.914291235213703	22.422455432156713	6.024767882174957
ENSMUSG00000027962	91.36697326422686	1.405265064417801	0.5783087698850504	5.698293786773226e-4	0.007628255517081035	0.8957076269347135	4.226385116614668	0.7756762538879635	1.4164814770003817
ENSMUSG00000030583	950.8591291730161	-1.143343377645576	0.23831723641857633	9.873383950967766e-8	1.0860722346064543e-5	29.996253195346963	13.67769688838483	23.342443547233135	9.10325429218912
ENSMUSG00000031822	656.3458800002676	-1.2980879553587337	0.2592514130274756	3.11529575913418e-8	4.17521247718443e-6	18.989001691015925	9.195870913073673	19.013087711579384	5.344856773214774
ENSMUSG00000055485	798.0854487955405	-1.128376424597034	0.21063046865802532	5.44543547109891e-9	1.1979958036417602e-6	23.527253667485144	10.844625546478294	20.943258854975014	8.574434540775645
ENSMUSG00000096054	876.2332953247163	-1.0703414980232642	0.23759173673741926	4.23460065712365e-7	3.381879702880943e-5	25.776475041787865	13.21325896348212	22.656962206587956	8.49888886200229
ENSMUSG00000044098	466.9848971050433	-1.245727074261059	0.24724504755025148	2.749699787605251e-8	3.7280813399392127e-6	13.117140581110583	6.246690089941459	13.619431899660755	4.400535788547852
ENSMUSG00000050395	65.81758309804881	-1.0611959614892699	0.645637706716103	0.0032553099748803263	0.02484091250464961	1.9307475513926047	0.9753196422956926	1.9662491086927447	0.39661481356010686
ENSMUSG00000050299	922.406996812008	1.2000826795120558	0.2588984468197969	2.1831498630185825e-7	1.958117492522821e-5	10.09163926346444	18.972289232275735	11.292403137996864	33.48562211628902
ENSMUSG00000054640	507.6449677591365	-1.3491291547484618	0.2483040449979498	3.1367823890541774e-9	7.314976531274342e-7	13.694374385135175	6.50213094863795	15.928421678676088	4.513854306707883
ENSMUSG00000004815	674.6257482079967	-1.0405653611123875	0.26202702257061095	4.461137111785935e-6	2.176437603490544e-4	20.919749242408535	10.356965725330449	16.28920133164723	6.440269115428402
ENSMUSG00000005580	652.4934695074496	-1.5769019770718884	0.2338833930797432	8.470060045766552e-13	5.486716674091e-10	21.47707843250124	7.431006798443372	18.057021631205846	5.26931109444142
ENSMUSG00000040524	468.4697050445569	-1.2598762416506524	0.24073992559544674	9.811110877978025e-9	1.733296255109451e-6	14.629891239933656	5.921583542509562	12.2484692183704	4.702718503641267
ENSMUSG00000024298	373.0032372444735	-2.9408941046012465	0.27114329218507016	9.57543355839803e-29	1.1164955529092104e-24	12.360765251699046	1.9970830770816559	14.142562396468916	1.3598222179203665
ENSMUSG00000005893	530.6470086368421	-2.0773904709118822	0.22136937635796589	2.6630318919652698e-22	1.0350317286771681e-18	17.078158753555204	4.296050805350074	17.479774186452012	3.626192581120977
ENSMUSG00000033624	523.4716940667453	-1.7761974426733131	0.2462485970535071	2.8433332212837693e-14	2.973592828190426e-11	14.968269676775657	5.41070182511658	17.76839790882893	3.758397518974346
ENSMUSG00000107215	335.06466717265255	-1.2266183263722683	1.0881242031056426	0.004589812829878108	0.0312359958661281	9.295454706189139	3.9709442579181764	12.140235322479057	1.4164814770003817
ENSMUSG00000021823	405.647225789298	-1.5887513558582516	0.2803504002303103	7.545185833581886e-10	2.045973646966623e-7	12.022386814857045	4.899820107723597	12.699443784584332	2.851849373694102
ENSMUSG00000037341	602.9213540812586	-1.1411585383493685	0.2142480172145509	5.946668256744165e-9	1.260693670429763e-6	16.779589544576968	7.918666619591217	16.938604706995296	6.629133312361787
ENSMUSG00000052512	500.0103260443045	-1.0105312506194184	0.26400709605098616	8.08438580883709e-6	3.3907891557928224e-4	14.032752821977178	7.75611334587527	13.38492512522951	4.853809861187974
ENSMUSG00000030188	177.45613957124488	1.2759633511160957	0.3645812701124914	2.4499445694182445e-5	7.935098244282424e-4	1.3734183612998943	4.806932522743056	2.435262657555234	5.590380229228173
ENSMUSG00000034218	328.43491810771434	-1.32398832243247	0.25063937760400046	7.383241199482625e-9	1.4849420735402095e-6	9.514405459439846	3.7619471917119567	9.578699786383922	3.437328384187593
ENSMUSG00000028864	526.6600204652843	-1.254075861807081	0.24716286634999207	2.2850977058684454e-8	3.3305299063032594e-6	13.33609133436129	6.896903184805255	16.866448776401068	5.061560477814697
ENSMUSG00000079260	431.4474737268024	-1.6571806937453142	0.2810144987251844	1.8897262435118554e-10	6.120613333152288e-8	14.729414309593068	4.9927076927041405	11.85161160010214	2.9651678918541324
ENSMUSG00000032589	761.4892519646751	-1.0044420260355214	0.23133360885000018	9.401869023947479e-7	6.603963422845037e-5	23.149066002779374	11.192953990155328	18.345645353582768	8.272251825682229
ENSMUSG00000087477	173.7844727689868	1.437301863492556	0.33210097534633565	7.978969971002257e-7	5.851244645401655e-5	2.0302706210520176	5.341036136381173	1.4791965771816977	5.061560477814697
ENSMUSG00000057036	527.384497276858	1.1645858477797355	0.2859462072818403	2.7853911366337294e-6	1.4629576870787967e-4	5.254818078016986	11.100066405174786	7.0532422155859	18.81087401456507
ENSMUSG00000037112	342.2430959385714	-1.641750954512745	0.282946860423055	3.3392360675009787e-10	9.983459627451643e-8	11.007251504331034	3.9245004654279056	10.029674352597853	2.4363481404406566
ENSMUSG00000059149	298.21322160020054	-1.4711116089401286	0.35004297141794816	1.2928516337826084e-6	8.282774752695173e-5	8.001654800616775	4.063831842898719	9.975557404652182	1.831982710253827
ENSMUSG00000031433	227.92048564895228	-1.0088668359225166	0.35418339681552913	2.3930811245973844e-4	0.004195988859068497	5.135390394425691	3.4368406442800596	7.558333729745505	2.1152790056539033
