ENSEMBL	baseMean	log2FoldChange	lfcSE	pvalue	padj	CD_LPS_1_fpm	WD_LPS_1_fpm	CD_LPS_2_fpm	WD_LPS_2_fpm
ENSMUSG00000034157	863.348686715953	7.116368942205818e-6	0.0014426774430143046	0.10518533917273493	0.9996008921543936	17.141786965024945	22.184764179277717	14.88813698494436	19.61243586350296
ENSMUSG00000028126	1983.9549454541807	8.65858570305889e-9	0.0014426627326429948	0.8617672308384547	0.9996008921543936	42.2732107645498	45.45502140708278	41.44594604779364	40.4788136803168
ENSMUSG00000026810	1581.3139597478585	-1.2379470504403587e-6	0.0014426705915319975	0.7687719205301072	0.9996008921543936	38.405211979593496	37.78872675185837	30.892884243759546	28.135322577412836
ENSMUSG00000020180	1457.267237456705	-9.310356548254713e-5	0.0014441803926765193	0.49028572180584307	0.9996008921543936	39.65227169714772	32.13511712411176	26.514020424658266	26.313188176507968
ENSMUSG00000031590	1647.217961924694	-2.5959987142515247e-6	0.0014426690046373091	0.6887376406195685	0.9996008921543936	40.75137517702601	36.63539038779806	31.965705879439362	31.505291576935818
ENSMUSG00000049295	1293.3650423366203	4.171332227490699e-6	0.0014426713555702668	0.35343463957518473	0.9996008921543936	24.603008664967987	33.58244118881489	26.49212610556276	25.921331316098318
ENSMUSG00000064043	1368.8755508085937	-2.7111600218359437e-6	0.001442668326020568	0.6323728955098581	0.9996008921543936	28.661236898364763	25.260327816771873	32.11896611310791	31.015470501423756
ENSMUSG00000029647	1279.0832242611546	-9.104993092906434e-7	0.0014426670226011331	0.6455877412031163	0.9996008921543936	23.694134633530165	27.227783967227694	28.98807848245049	29.467635902805643
ENSMUSG00000030847	1888.3890843429908	4.463909178787697e-6	0.0014426661106380551	0.5333129998166618	0.9996008921543936	40.87819480931966	37.01983584248483	43.61348363824878	39.96939976178425
ENSMUSG00000038646	1294.5776951901169	-9.609267157943213e-7	0.001442669127055653	0.9034624988233046	0.9996008921543936	31.451268808825052	28.109747069156167	23.339344155809837	27.80224424606463
ENSMUSG00000038843	82.10793923771152	3.1658266603492884e-6	0.0014426891648089695	0.12821505955897228	0.9996008921543936	1.1413766906428446	1.8543839579008898	1.5763909748764617	2.4491053775603095
ENSMUSG00000024539	2010.7348447347008	2.0035491095122312e-5	0.0014427312134732441	0.3966019164333177	0.9996008921543936	39.80022793482364	45.65855135368166	40.83290511311946	45.65132423772417
ENSMUSG00000038256	2752.759989724571	3.3866334234957893e-6	0.001442681460521332	0.3150519224574758	0.9996008921543936	35.31926759378136	52.98562943124127	69.77719495737894	77.31335855882385
ENSMUSG00000026113	1949.5617134494623	6.984763774797405e-6	0.001442672062705484	0.14346185876463516	0.9996008921543936	35.129038145340886	44.16599841195655	39.08135958547895	48.33554373153027
ENSMUSG00000020883	348.0294975944802	-7.515434603691876e-8	0.0014426750844143544	0.8665623618997457	0.9996008921543936	6.9328065653861675	6.920018184361856	8.188475341719398	7.7195801500700965
ENSMUSG00000021144	1284.027943112781	-2.3284387417442785e-5	0.0014427587730177288	0.997410559003068	0.9996008921543936	25.680975539464004	27.227783967227694	29.207021673405553	27.684687187941737
ENSMUSG00000059920	2370.3756645237863	-3.115596445103047e-7	0.0014426613712016602	0.6162904670924105	0.9996008921543936	50.45307704749019	51.65137755909307	47.18225765081632	53.41009007383523
ENSMUSG00000001018	897.0545999931443	1.9193181277718592e-5	0.001442730871116061	0.5647140837374696	0.9996008921543936	17.60679228343499	19.018742787739612	18.982374655804062	21.101491933059627
ENSMUSG00000010755	2036.3761838619569	1.4717475719042902e-6	0.0014426621423569003	0.7639351564572139	0.9996008921543936	41.617975997699276	45.31933477601686	43.525906361866745	43.67244709265544
